; C:\workspace\git\reAi_v2\info\re2leon\PSX.EXE  pointer table @0x800a74c8
  [ 0] 0x800a74c8 -> 0x800537e4  EXE
  [ 1] 0x800a74cc -> 0x800537fc  EXE
  [ 2] 0x800a74d0 -> 0x80053860  EXE
  [ 3] 0x800a74d4 -> 0x80053878  EXE
  [ 4] 0x800a74d8 -> 0x800538a4  EXE
  [ 5] 0x800a74dc -> 0x800538dc  EXE
  [ 6] 0x800a74e0 -> 0x80053924  EXE
  [ 7] 0x800a74e4 -> 0x80053964  EXE
  [ 8] 0x800a74e8 -> 0x800539a0  EXE
  [ 9] 0x800a74ec -> 0x800539dc  EXE
  [10] 0x800a74f0 -> 0x80053a24  EXE
  [11] 0x800a74f4 -> 0x80053a8c  EXE
  [12] 0x800a74f8 -> 0x80053ac0  EXE
  [13] 0x800a74fc -> 0x80053b1c  EXE
  [14] 0x800a7500 -> 0x80053cbc  EXE
  [15] 0x800a7504 -> 0x80053d3c  EXE
  [16] 0x800a7508 -> 0x80053e0c  EXE
  [17] 0x800a750c -> 0x80053e50  EXE
  [18] 0x800a7510 -> 0x80053ec4  EXE
  [19] 0x800a7514 -> 0x80054020  EXE
  [20] 0x800a7518 -> 0x800540f8  EXE
  [21] 0x800a751c -> 0x80054110  EXE
  [22] 0x800a7520 -> 0x80054128  EXE
  [23] 0x800a7524 -> 0x8005415c  EXE
  [24] 0x800a7528 -> 0x800541a8  EXE
  [25] 0x800a752c -> 0x80054210  EXE
  [26] 0x800a7530 -> 0x80054268  EXE
  [27] 0x800a7534 -> 0x80053bd4  EXE
  [28] 0x800a7538 -> 0x800537cc  EXE
  [29] 0x800a753c -> 0x800542b4  EXE
  [30] 0x800a7540 -> 0x800537e4  EXE
  [31] 0x800a7544 -> 0x800537e4  EXE
  [32] 0x800a7548 -> 0x800537e4  EXE
  [33] 0x800a754c -> 0x80054354  EXE
  [34] 0x800a7550 -> 0x800543b4  EXE
  [35] 0x800a7554 -> 0x80054474  EXE
