# Spaltenregel-Cuts: Modell-Treue (|Kacheltiefe-Modell|<=2) und VOR/HINTER mit Standlinie auf der Objekt-Ebene
Raum      Cut  ebene  Treue90 |  VORn verd90 teil90 verd100 teil100 |  HINTn frei90 frei100 | Verhaeltnis Standlinie/Fuss bei verd90 (Median)
ROOM1000  1        0    44.1% |   226     39     23      9     10 |    178    117    133 | 1.034
ROOM1000  3        0    80.0% |    69      0      0      0      0 |      8      0      0 | -
ROOM1000  4        0    95.4% |    47      1     16      0      4 |    372     73     43 | 1.006
ROOM1000  5        0   100.0% |   290    198     84    155     88 |    673      5     75 | 1.141
ROOM1000  6        0   100.0% |   104     12     24      0      8 |    436     12     29 | 1.007
ROOM1000  7        0    93.8% |   264     97     81     47     68 |    775     73    159 | 1.010
ROOM1000  8        0   100.0% |   297    180     97    146     82 |    625     41    115 | 1.256
ROOM1010  0        0   100.0% |   276     91     89     31     88 |    848     31    104 | 1.008
ROOM1010  1        0   100.0% |    90      8     41      2     15 |    320     14     43 | 1.004
ROOM1010  6        0   100.0% |   210    120     81     81     68 |   1031     39    106 | 1.024
ROOM1010  8        0   100.0% |   197     88    104     52     76 |   1014     32    117 | 1.011
ROOM1050  1        0   100.0% |   119      8     49      0     25 |    198      4     31 | 1.006
ROOM1050  3        0   100.0% |   122     33     28      6     18 |     98      0     26 | 1.010
ROOM1050  5        0   100.0% |   215     67     85      1     38 |   2597     21    103 | 1.005
ROOM1050  6        0   100.0% |   251    101     95     48    104 |    406      8     86 | 1.019
ROOM10A0  0   -14400    99.5% |   236     55    133     21     86 |   1897     24    159 | 1.013
ROOM10A0  1   -10800   100.0% |   141      1     65      0     30 |    873     64    138 | 1.003
ROOM10A0  2    -7200   100.0% |   225      1     77      0      5 |    928     92    105 | 1.004
ROOM10A0  5    -5400   100.0% |   700     97    223     37     79 |   1537     27    214 | 1.011
ROOM10A0  7    -1800   100.0% |   117      0      8      0      0 |    205      2      9 | -
ROOM10A0  8    -1800   100.0% |    87      5     33      1     11 |    532     15     62 | 1.004
ROOM1140  0     -700    98.2% |   121     14     44      2     15 |    797     13    125 | 1.007
ROOM1140  5     -700   100.0% |   120     20     78      0      2 |    415     10    105 | 1.003
ROOM1160  3        0   100.0% |   107      9     37      0     39 |    214     16     34 | 1.047
ROOM1180  2        0   100.0% |   149     30     56      2     30 |    625      0     32 | 1.007
ROOM1180  3        0   100.0% |   185     38    116      5     72 |   1010      4     83 | 1.005
ROOM1180  5        0   100.0% |    14     11      3      3      8 |    133      0      1 | 1.003
ROOM1180  6        0   100.0% |    87     62     25     20     34 |    553      0     30 | 1.009
ROOM11B0  3        0   100.0% |   845    186    295     68    277 |   1287     66    159 | 1.013
ROOM11D0  3        0   100.0% |    99     25     18      2     35 |    235      2     21 | 1.078
ROOM11F0  1        0   100.0% |     0      0      0      0      0 |      0      0      0 | -
ROOM11F0  6        0   100.0% |    86      5      4      0      0 |    608      0      7 | 1.028
ROOM11F0  7        0   100.0% |   136     18     13      0      0 |    674      0     19 | 1.027
ROOM1220  0        0   100.0% |    52      0     14      0      0 |     25     12     19 | -
ROOM1220  2        0   100.0% |    72      2      9      0      0 |     12      0      4 | 1.019
ROOM1220  4        0   100.0% |    81      6      6      0      1 |      8      0      2 | 1.023
ROOM1220  6        0   100.0% |    79      7     41      0      8 |     94      3     39 | 1.004
ROOM1220  8        0   100.0% |    76      1     59      0      8 |    150     42     77 | 1.018
ROOM1230  2        0   100.0% |   108     44     55      9     54 |   2185      0     63 | 1.006
ROOM1230  3        0   100.0% |    96     34     32     10     29 |   2457      1     49 | 1.005
ROOM1230  5        0   100.0% |    19     14      4      3      8 |    132      0      5 | 1.009
ROOM1230  6        0   100.0% |    97     61     36     26     43 |    978      0     45 | 1.010
