# Kalibrierung geometrie.py an den Kuenstler-Masken STAGE1 (mit Regel (i), Objekt = gruppe)
Raum      Cut  ebene  Komp Felder Quelle   |  medMax  medMed  medMin | Rechtecke je Stufe 2/4/8/16 (X = Ueberlauf)
ROOM1020  0        0     4     24 zzzp     |     +12     +11     +10 | 105/72/45/36
ROOM1020  1        0     7     45 zzzppzz  |     +17      +2      -2 | X/104/53/34
ROOM1020  2        0     8     43 pppzzzzz |     +20      +8      +6 | X/X/70/40
ROOM1020  3        0     9     44 zzzzpzzz |     +10      +4      -1 | X/X/71/43
ROOM1020  4        0     3     31 zzz      |      +9      +4      +2 | 91/53/40/32
ROOM1020  5        0     8     36 pzzpzpzz |      -5     -21     -29 | X/X/66/42
ROOM1020  6        0     6     36 zzzzzz   |      +6      +3      +0 | 103/54/30/18
ROOM1020  7        0     1      7 z        |      -1     -18     -31 | 55/31/19/9
ROOM1020  8        0     1     12 z        |      +0      -5      -8 | 71/40/25/14
ROOM1020  9        0     2     20 zz       |     +41     +32     +25 | 101/94/54/35
ROOM1020  10       0     1     16 p        |     +35     +31     +28 | 9/8/8/7
ROOM1020  12       0     5     50 zzzzz    |      +9      +8      +6 | 85/61/52/44
ROOM1030  0        0     9     51 zkzzpzpz |      -5      -9     -16 | 102/58/35/20
ROOM1030  1        0     6     26 zzzzzz   |      +0      -9     -15 | X/74/41/22
ROOM1030  2        0     3     21 zpz      |      +5      +0      -3 | 105/103/65/47
ROOM1030  3        0     4     40 pzzz     |     +12      +9      +7 | 105/90/57/41
ROOM1030  4        0     7     40 zzpzzzz  |     -28     -40     -44 | 89/50/32/21
ROOM1030  5        0     3     22 zzz      |      -5      -8     -10 | 80/52/35/19
ROOM1030  6        0     3     22 zzz      |      -2      -9     -17 | 105/104/96/67
ROOM1030  7        0     2      8 zz       |    +165    +153    +143 | 86/53/24/15
ROOM1030  9        0     8     42 pkzzzpzp |      +5      -2     -14 | 96/58/35/23
ROOM1030  10       0     4     22 pzzp     |      +8      -4      -9 | 105/70/48/36
ROOM1030  11       0     7     41 zzzzzzp  |     -35     -37     -50 | X/58/34/20
ROOM1030  12       0     2     36 pp       |    +103     +32      +1 | X/105/88/62
ROOM1040  1        0     5     46 ppzpp    |    +244    +240    +235 | 100/64/37/26
ROOM1040  2        0     8     34 zzkpzzzz |    +110     +43     -14 | X/X/X/69
ROOM1040  3        0     7     66 zzzpzpz  |     +16      +0      -7 | X/X/X/70
ROOM1040  4        0     4     28 kkzz     |     +44      -6      -9 | 103/104/55/33
ROOM1040  6        0     8     35 zzpkkpzz |     +28     +12     -17 | X/83/45/25
ROOM1070  0        0     3     21 zzz      |     +39      -1     -16 | X/105/63/42
ROOM1070  1        0     4     43 zpzz     |      +1      -6     -11 | X/105/90/60
ROOM1070  2        0     4     40 zzpp     |     +12      -2      -8 | X/X/105/95
ROOM1070  3        0     8     56 zzzzzzzp |      +0      -6     -10 | X/X/101/38
ROOM1070  4        0     5     23 zzzzz    |     +58      +6      -7 | X/105/73/44
ROOM1070  5        0     5     45 zzzzz    |     +12      +3      +1 | X/105/93/60
ROOM1070  6        0     2     19 zz       |     +43     +27     +14 | 44/31/24/22
ROOM1070  7        0     3     20 zzz      |      +5      +3      +2 | 44/28/26/22
ROOM1090  0    -9000     6     67 zzzzzz   |      -6     -17     -23 | X/102/41/23
ROOM1090  1    -9000     3     28 zzz      |     +23     +13      +8 | 92/54/36/28
ROOM1090  4    -1800     2     37 pz       |     +37     +23     +12 | 97/98/74/56
ROOM1090  5    -1800     4     37 pzzp     |     +31     +22     +14 | 82/46/30/22
ROOM1090  6    -1800     5     71 pzppz    |    -103    -105    -111 | 105/89/60/45
ROOM1090  8    -9000     6     67 zzzzzz   |      -3     -11     -20 | X/102/41/23
ROOM1090  9    -9000     3     28 zzz      |     +16      +8      +1 | 92/54/36/28
ROOM1090  12   -1800     2     37 pz       |     +64     +59     +54 | 97/98/74/56
ROOM1090  13   -1800     4     37 pzzp     |      -3     -17     -28 | 82/46/30/22
ROOM1090  14   -1800     2     28 kp       |     +44     +13      +4 | 95/77/46/26
ROOM10B0  0        0     5     63 ppppp    |    +229    +219    +210 | X/X/105/92
ROOM10B0  1        0     5     35 ppppk    |    +273    +270    +264 | 103/63/37/24
ROOM10B0  2        0     6     54 ppppkp   |    +223    +207    +194 | X/X/105/73
ROOM10B0  4        0     3     19 zpz      |     -36     -39     -42 | 105/77/44/31
ROOM10B0  5        0     5     25 pzkpz    |     +24      -1     -11 | X/105/105/67
ROOM10B0  8        0     1     14 p        |    +150    +145    +140 | 14/8/7/5
ROOM1150  0        0     1      2 z        |     +30     +22     +15 | 17/9/8/7
ROOM1150  1        0     3     28 zzz      |     +11      +4      -1 | 105/94/66/46
ROOM1150  2        0    11     54 zzzzzkkk |     +26     +21     +15 | 101/64/47/34
ROOM1150  3        0     5     47 zzzzz    |     +16      +7      +1 | 105/103/83/49
ROOM1150  4        0     3     18 zzz      |     +40     +37     +34 | 21/12/13/13
ROOM1190  0        0     3     22 zzz      |     +14      +7      +2 | 104/87/54/38
ROOM1190  1        0     7     41 zzzkkzk  |      +3      -5      -8 | 103/94/59/41
