# Kalibrierung geometrie.py an den Kuenstler-Masken STAGE1 (OHNE Regel (i), Objekt = gruppe)
Raum      Cut  ebene  Komp Felder Quelle   |  medMax  medMed  medMin | Rechtecke je Stufe 1/2/3/4/6/8/12/16 (X = Ueberlauf)
ROOM1020  0        0     4     24 pppp     |     +33     +28     +18 | X/104/105/103/97/78/63/54
ROOM1020  1        0     7     45 ppppppp  |     +36     +25     +20 | X/X/103/82/64/53/41/36
ROOM1020  2        0     8     43 pppppppp |     +46     +22     +17 | X/X/X/89/68/61/50/42
ROOM1020  3        0     9     44 pppppppp |     +48     +22     +16 | X/X/X/105/74/62/44/39
ROOM1020  4        0     3     31 ppp      |     +33     +17      +7 | X/104/103/105/79/67/51/46
ROOM1020  5        0     8     36 pppppppp |     +62     +31     +21 | X/X/X/X/80/64/51/39
ROOM1020  6        0     6     36 pppppp   |     +29     +11      +7 | X/X/71/55/38/32/23/18
ROOM1020  7        0     1      7 p        |     +44     +38     +32 | 25/15/11/9/8/6/6/4
ROOM1020  8        0     1     12 p        |      +6      +2      -1 | 14/9/5/4/3/2/2/2
ROOM1020  9        0     2     20 pp       |     +48     +42     +35 | 27/15/17/12/14/12/12/12
ROOM1020  10       0     1     16 p        |     +35     +31     +28 | 14/9/8/8/7/8/7/7
ROOM1020  12       0     5     50 ppppp    |     +17      +7      -1 | X/X/X/105/105/105/102/86
ROOM1030  0        0     9     51 pkpppppp |      +0      -4      -5 | X/65/47/40/29/26/17/17
ROOM1030  1        0     6     26 pppppp   |      +6      +3      +0 | 64/44/33/25/21/17/14/12
ROOM1030  2        0     3     21 ppp      |     +27     +18     +16 | X/101/76/67/49/47/40/38
ROOM1030  3        0     4     40 pppp     |     +39     +21     +13 | 105/77/62/58/44/40/37/33
ROOM1030  4        0     7     40 ppppppp  |     +27     +13      +8 | 71/41/33/29/24/21/20/15
ROOM1030  5        0     3     22 ppp      |     +10      +4      +3 | 47/29/24/22/19/19/18/15
ROOM1030  6        0     3     22 ppp      |     +82      -6     -14 | X/X/X/X/103/104/90/86
ROOM1030  7        0     2      8 pp       |    +162    +156    +150 | 26/16/11/10/8/8/6/7
ROOM1030  9        0     8     42 pkpppppp |     +13      +7      +2 | 105/69/50/47/35/31/25/23
ROOM1030  10       0     4     22 pppp     |    +100      +5      -4 | 95/60/53/43/43/34/32/30
ROOM1030  11       0     7     41 ppppppp  |      -1      -8      -9 | X/73/61/51/44/37/32/25
ROOM1030  12       0     2     36 pp       |    +103     +32      +1 | X/X/X/105/101/88/68/62
ROOM1040  1        0     5     46 ppppp    |    +244    +240    +235 | 77/44/34/28/25/21/20/18
ROOM1040  2        0     8     34 ppkppppp |     +21     +10      -5 | X/99/72/60/42/37/29/23
ROOM1040  3        0     7     66 ppppppp  |     +41     +26     +15 | X/X/X/X/X/105/74/55
