seite,pix,rect,rect_x,rect_y,rect_w,rect_h,uv_u,uv_v,typ,maske,px_im_rect_x,px_im_rect_y,px_w,px_h,px_n,screen_x,screen_y,uv_x,uv_y,wand,ausrichtung,palette_index,raeume,maskenbits
0,MAP01.PIX,0,120,60,56,72,72,48,TUER,5x5 Standard,17,11,5,5,11,137,71,89,59,S,waagerecht,4,ROOM11A0.z0,XXX..|X..X.|X...X|X...X|X...X
0,MAP01.PIX,0,120,60,56,72,72,48,TUER,5x5 Standard,35,48,5,5,11,155,108,107,96,S,waagerecht,4,ROOM11A0.z0,XXX..|X..X.|X...X|X...X|X...X
0,MAP01.PIX,0,120,60,56,72,72,48,TUER,5x5 Standard,5,59,5,5,11,125,119,77,107,S,waagerecht,4,ROOM11A0.z0,..XXX|.X..X|X...X|X...X|X...X
0,MAP01.PIX,2,144,69,16,40,152,16,TUER,5x5 Standard,8,1,5,5,11,152,70,160,17,N,waagerecht,4,,X...X|X...X|X...X|.X..X|..XXX
0,MAP01.PIX,3,168,76,72,32,0,80,TUER2,5x9 doppelt,1,2,5,9,19,169,78,1,82,W,senkrecht,4,ROOM11B0.z0,XXXXX|....X|....X|...X.|XXX..|...X.|....X|....X|XXXXX
0,MAP01.PIX,4,168,100,72,96,184,16,TUER,5x5 Standard,3,1,5,5,11,171,101,187,17,N,waagerecht,4,ROOM11C0.z0,X...X|X...X|X...X|X..X.|XXX..
1,MAP02.PIX,0,100,70,88,80,168,16,TUER,5x5 Standard,72,26,5,5,11,172,96,240,42,S,waagerecht,4,ROOM1250.z0,XXX..|X..X.|X...X|X...X|X...X
1,MAP02.PIX,0,100,70,88,80,168,16,TUER2,7x5 doppelt,2,34,7,5,17,102,104,170,50,S,waagerecht,4,ROOM1250.z0,XX...XX|X.X.X.X|X..X..X|X..X..X|X..X..X
1,MAP02.PIX,2,141,101,32,40,40,32,TUER,5x5 Standard,23,32,5,5,11,164,133,63,64,S,waagerecht,4,ROOM11E0.z1,..XXX|.X..X|X...X|X...X|X...X
1,MAP02.PIX,3,187,70,64,80,96,48,TUER,5x5 Standard,1,2,5,5,11,188,72,97,50,W,senkrecht,4,ROOM1230.z0,XXXXX|....X|....X|...X.|XXX..
