room,slot,rdt_off,sce,dest,partner,rect_x,rect_z,rect_w,rect_d,welt_x,welt_z,ausgang_ncdir,ausgang_next,ankunft_ncdir,ankunft_spawn,achse_a_rect,achse_b_sca,achse_c_yaw,achse,sca_wand_richtung,sca_wand_abstand,yaw_abw,auswaerts_karte,auswaerts_quelle,seite,rect,karte_heute_x,karte_heute_y,kind_heute,kind_soll,karte_neu_x,karte_neu_y,karte_snap_x,karte_snap_y,snap_px,lage
1000,0,0x0bbe,2,1050,1050#3,22350,-14400,1000,2000,22850,-13400,0,"14700,-13500",2048,"21850,-13400",Z,Z,Z,Z,+X,950,0,"1,0",yaw,2,7,177,112,2,2,179,107,179,107,0,Wandlinie
1000,1,0x0bde,2,1050,1050#2,1200,-900,1000,2000,1700,100,0,"14700,6100",2048,"650,50",Z,Z,Z,Z,+X,950,0,"1,0",yaw,2,7,177,107,2,2,179,103,179,103,0,Wandlinie
1000,2,0x0bfe,2,1050,1050#1,1200,2200,1000,2000,1700,3200,0,"14700,9150",2048,"650,3250",Z,Z,Z,Z,+X,950,0,"1,0",yaw,2,7,177,102,2,2,179,99,179,99,0,Wandlinie
1010,0,0x08ae,2,1020,1020#1,4150,5900,1000,2000,4650,6900,2695,"-4000,-18000",2048,"3650,6900",Z,Z,Z,Z,+X,950,0,"1,0",yaw,,,,,,2,,,,,,
1010,1,0x08ce,2,1020,1020#0,4150,-4950,1000,2000,4650,-3950,2048,"-3785,-7412",2048,"3650,-3950",Z,Z,Z,Z,+X,950,0,"1,0",yaw,,,,,,2,,,,,,
1020,0,0x1c82,2,1010,1010#1,-3500,-8400,1500,2300,-2750,-7250,2048,"3650,-3950",2048,"-3785,-7412",Z,Z,Z,Z,+X,950,0,"1,0",yaw,2,3,197,114,2,2,193,114,196,114,3,Wandlinie
1020,1,0x1ca2,2,1010,1010#0,-3700,-19600,1500,2300,-2950,-18450,2048,"3650,6900",2695,"-4000,-18000",Z,Z,,Z,+X,1200,377,"1,0",sca,2,3,197,132,2,2,193,130,196,130,3,Wandlinie
1020,2,0x1cc2,2,1040,1040#3,-27900,-9300,1500,2200,-27150,-8200,2048,"-24000,16500",0,"-25883,-8767",Z,Z,Z,Z,-X,800,0,"-1,0",yaw,2,3,148,115,2,2,148,115,145,115,3,Wandlinie
1030,0,0x1c6a,2,1050,1050#0,1500,-13800,1500,2200,2250,-12700,2048,"20600,12350",2048,"1172,-12558",Z,Z,Z,Z,+X,1250,0,"1,0",yaw,,,,,,2,,,,,,
1030,1,0x1c8a,2,1070,1070#0,-16900,-4900,1500,2200,-16150,-3800,0,"160,6145",2048,"-18000,-3500",Z,Z,Z,Z,+X,1600,0,"1,0",yaw,,,,,,2,,,,,,
1030,2,0x1caa,2,1040,1040#1,-27500,-4700,1200,2100,-26900,-3650,2048,"-20083,-3559",0,"-26214,-3861",Z,Z,Z,Z,-X,550,0,"-1,0",yaw,,,,,,2,,,,,,
1040,0,0x1096,2,1080,1080#0,-22936,-11000,2300,1400,-21786,-10300,1024,"-13650,-900",1024,"-21936,-11000",X,X,X,X,+Z,800,0,"0,-1",yaw,,,,,,0,,,,,,
1040,1,0x10b8,2,1030,1030#2,-20400,-4900,1500,2200,-19650,-3800,0,"-26214,-3861",2048,"-20083,-3559",Z,Z,Z,Z,+X,500,0,"1,0",yaw,,,,,,2,,,,,,
1040,2,0x10d8,2,1060,1060#2,-20400,-14100,1500,2200,-19650,-13000,2048,"26000,25300",2112,"-21008,-13134",Z,Z,Z,Z,+X,1400,64,"1,0",yaw,,,,,,2,,,,,,
1040,3,0x10f8,2,1020,1020#2,-24300,15600,1500,2200,-23550,16700,0,"-25883,-8767",2048,"-24000,16500",Z,Z,Z,Z,+X,300,0,"1,0",yaw,,,,,,2,,,,,,
1050,0,0x0ada,2,1030,1030#0,21150,11350,1000,2000,21650,12350,2048,"1172,-12558",2048,"20600,12350",Z,Z,Z,Z,+X,1000,0,"1,0",yaw,,,,,,2,,,,,,
