# RE1.5 Port — BEFUND-LOG (Sep  6 2026 09:39:45)
# Eine Zeile je 15 Bilder, dazu jede F9-MARKE.
# Spalten:
#   F<n>        Bildnummer
#   R<xxxx> C<n> Raum und Kamerawinkel
#   pos=(x,y,z) Weltlage der Figur, rot = Blickrichtung (0..4095)
#   vz=a/b/c    Kamera-Tiefe von FUSS / HUEFTE / KOPF
#   scr=(x,y)   Fusspunkt im 320x240-Bild
#   kasten=...  geschaetzter Bildkasten der Figur (Messgroesse)
#   masken=n    geladene Vordergrund-Masken dieses Winkels
#   [i:(x,y)wxh t=T z=Z DECKT|frei]  jede Maske, die den Kasten beruehrt.
#       Der Zeichner verdeckt, solange die Figur-Tiefe GROESSER als z ist
#       (z = T*64). 'frei' heisst: die Figur steht VOR dieser Maske.
# ---------------------------------------------------------------
F0       R1240 C0  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F15      R1240 C0  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F30      R1240 C0  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F45      R1240 C0  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F60      R1240 C0  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F75      R1240 C0  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F90      R1240 C0  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F105     R1240 C0  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F120     R1240 C0  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F135     R1240 C0  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F150     R1240 C0  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F165     R1240 C1  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F180     R1240 C1  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F195     R1240 C1  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F210     R1240 C1  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F225     R1240 C1  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F240     R1240 C1  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F255     R1240 C1  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F270     R1240 C1  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
