doc,slot,seite,rolle,byteoff_in_FILES_TIM,tim_bytes,bpp,breite,hoehe,clut0,clut_vram,name
0,0,-1,paper,0x000000,33312,8,128,256,0x0000,"0,480",FILE00_title_paper.TIM
0,0,-1,page,0x008220,18496,4,256,144,0x0000,"0,480",FILE00_title_page.TIM
0,1,0,page,0x00D000,18496,4,256,144,0x0000,"0,480",FILE00_p00_page.TIM
0,2,1,page,0x012000,18496,4,256,144,0x0000,"0,480",FILE00_p01_page.TIM
0,3,2,page,0x017000,18496,4,256,144,0x0000,"0,480",FILE00_p02_page.TIM
0,4,3,page,0x01C000,18496,4,256,144,0x0000,"0,480",FILE00_p03_page.TIM
0,5,4,page,0x021000,18496,4,256,144,0x0000,"0,480",FILE00_p04_page.TIM
0,6,5,page,0x026000,18496,4,256,144,0x0000,"0,480",FILE00_p05_page.TIM
1,7,-1,paper,0x02B000,33312,8,128,256,0x0000,"0,480",FILE01_title_paper.TIM
1,7,-1,page,0x033220,22592,4,256,176,0x0000,"0,480",FILE01_title_page.TIM
1,8,0,page,0x039000,22592,4,256,176,0x0000,"0,480",FILE01_p00_page.TIM
1,9,1,page,0x03F000,22592,4,256,176,0x0000,"0,480",FILE01_p01_page.TIM
1,10,2,page,0x045000,22592,4,256,176,0x0000,"0,480",FILE01_p02_page.TIM
1,11,3,page,0x04B000,22592,4,256,176,0x0000,"0,480",FILE01_p03_page.TIM
1,12,4,page,0x051000,22592,4,256,176,0x0000,"0,480",FILE01_p04_page.TIM
1,13,5,page,0x057000,22592,4,256,176,0x0000,"0,480",FILE01_p05_page.TIM
2,14,-1,paper,0x05D000,33312,8,128,256,0x0000,"0,480",FILE02_title_paper.TIM
2,14,-1,page,0x065220,22592,4,256,176,0x0000,"0,480",FILE02_title_page.TIM
2,15,0,page,0x06B000,22592,4,256,176,0x0000,"0,480",FILE02_p00_page.TIM
2,16,1,page,0x071000,22592,4,256,176,0x0000,"0,480",FILE02_p01_page.TIM
3,17,-1,paper,0x077000,33312,8,128,256,0x0000,"0,480",FILE03_title_paper.TIM
3,17,-1,page,0x07F220,22592,4,256,176,0x0000,"0,480",FILE03_title_page.TIM
3,18,0,page,0x085000,22592,4,256,176,0x0000,"0,480",FILE03_p00_page.TIM
3,19,1,page,0x08B000,22592,4,256,176,0x0000,"0,480",FILE03_p01_page.TIM
3,20,2,page,0x091000,22592,4,256,176,0x0000,"0,480",FILE03_p02_page.TIM
4,21,-1,paper,0x097000,33312,8,128,256,0x0000,"0,480",FILE04_title_paper.TIM
4,21,-1,page,0x09F220,22592,4,256,176,0x0000,"0,480",FILE04_title_page.TIM
4,22,0,page,0x0A5000,22592,4,256,176,0x0000,"0,480",FILE04_p00_page.TIM
4,23,1,page,0x0AB000,22592,4,256,176,0x0000,"0,480",FILE04_p01_page.TIM
4,24,2,page,0x0B1000,22592,4,256,176,0x0000,"0,480",FILE04_p02_page.TIM
4,25,3,page,0x0B7000,22592,4,256,176,0x0000,"0,480",FILE04_p03_page.TIM
4,26,4,page,0x0BD000,22592,4,256,176,0x0000,"0,480",FILE04_p04_page.TIM
4,27,5,page,0x0C3000,22592,4,256,176,0x0000,"0,480",FILE04_p05_page.TIM
4,28,6,page,0x0C9000,22592,4,256,176,0x0000,"0,480",FILE04_p06_page.TIM
4,29,7,page,0x0CF000,22592,4,256,176,0x0000,"0,480",FILE04_p07_page.TIM
4,30,8,page,0x0D5000,22592,4,256,176,0x0000,"0,480",FILE04_p08_page.TIM
4,31,9,page,0x0DB000,22592,4,256,176,0x0000,"0,480",FILE04_p09_page.TIM
5,32,-1,paper,0x0E1000,33312,8,128,256,0x0000,"0,480",FILE05_title_paper.TIM
5,32,-1,page,0x0E9220,22592,4,256,176,0x0000,"0,480",FILE05_title_page.TIM
5,33,0,page,0x0EF000,22592,4,256,176,0x0000,"0,480",FILE05_p00_page.TIM
5,34,1,page,0x0F5000,22592,4,256,176,0x0000,"0,480",FILE05_p01_page.TIM
5,35,2,page,0x0FB000,22592,4,256,176,0x0000,"0,480",FILE05_p02_page.TIM
5,36,3,page,0x101000,22592,4,256,176,0x0000,"0,480",FILE05_p03_page.TIM
5,37,4,page,0x107000,22592,4,256,176,0x0000,"0,480",FILE05_p04_page.TIM
5,38,5,page,0x10D000,22592,4,256,176,0x0000,"0,480",FILE05_p05_page.TIM
5,39,6,page,0x113000,22592,4,256,176,0x0000,"0,480",FILE05_p06_page.TIM
5,40,7,page,0x119000,22592,4,256,176,0x0000,"0,480",FILE05_p07_page.TIM
5,41,8,page,0x11F000,22592,4,256,176,0x0000,"0,480",FILE05_p08_page.TIM
5,42,9,page,0x125000,22592,4,256,176,0x0000,"0,480",FILE05_p09_page.TIM
6,43,-1,paper,0x12B000,33312,8,128,256,0x0000,"0,480",FILE06_title_paper.TIM
6,43,-1,page,0x133220,22592,4,256,176,0x0000,"0,480",FILE06_title_page.TIM
6,44,0,page,0x139000,22592,4,256,176,0x0000,"0,480",FILE06_p00_page.TIM
6,45,1,page,0x13F000,22592,4,256,176,0x0000,"0,480",FILE06_p01_page.TIM
