# RE2-Leon (SLUS-00748) — Namenstabelle, Index 0..139
# Offsets: u16[140] @0x8009EBAC, relativ zu 0x8009E550 (englisch)
#          u16[140] @0x8009E438, relativ zu 0x8009DF3C (japanisch)
#
idx	id_hex	adresse_en	name_en	bytes_en_hex	adresse_jp	bytes_jp_hex
0	0x00	0x8009E550			0x8009DF3C	
1	0x01	0x8009E551	Knife	274a454241	0x8009DF3D	b0d4e4ee0cbabba8c2
2	0x02	0x8009E557	Hand Gun	243d4a400023514a	0x8009DF47	c0d4e3d5d4
3	0x03	0x8009E560	Hand Gun	243d4a400023514a	0x8009DF4D	c0d4e3d5d4
4	0x04	0x8009E569	C. Hand Gun	1f0100243d4a400023514a	0x8009DF53	acb3b6c7c0d4e3d5d4
5	0x05	0x8009E575	Magnum	293d434a5149	0x8009DF5D	c5d7bbc7
6	0x06	0x8009E57C	C. Magnum	1f0100293d434a5149	0x8009DF62	acb3b6c7c5d7bbc7
7	0x07	0x8009E586	Shotgun	2f444b5043514a	0x8009DF6B	b2ee0bee0cbad5d4
8	0x08	0x8009E58E	C. Shotgun	1f01002f444b5043514a	0x8009DF74	acb3b6c7b2ee0bee0cbad5d4
9	0x09	0x8009E599	G. Launcher	230100283d514a3f44414e	0x8009DF81	d7d0be3be3cdd4b7ee093b
10	0x0A	0x8009E5A5	G. Launcher	230100283d514a3f44414e	0x8009DF8D	d7d0be3be3cdd4b7ee093b
11	0x0B	0x8009E5B1	G. Launcher	230100283d514a3f44414e	0x8009DF99	d7d0be3be3cdd4b7ee093b
12	0x0C	0x8009E5BD	Bow Gun	1e4b530023514a	0x8009DFA5	e8a9d5d4
13	0x0D	0x8009E5C5	Colt S.A.A.	1f4b4850002f011d011d01	0x8009DFAA	b0cfba2f011d011d01
14	0x0E	0x8009E5D1	Spark Shot	2f4c3d4e47002f444b50	0x8009DFB4	b3e93baeb2ee0bee0cba
15	0x0F	0x8009E5DC	S. Machine Gun	2f0100293d3f44454a410023514a	0x8009DFBF	b1e6c5b2d4d5d4
16	0x10	0x8009E5EB	Flamethrower	22483d494150444e4b53414e	0x8009DFC7	ef18ee15ef1def0cef08
17	0x11	0x8009E5F8	R. Launcher	2e0100283d514a3f44414e	0x8009DFD2	d1afee0cbacdd4b7ee093b
18	0x12	0x8009E604	Gatling Gun	233d5048454a430023514a	0x8009DFDE	d5baced4d7d5d4
19	0x13	0x8009E610	Hand Gun	243d4a400023514a	0x8009DFE6	c0d4e3d5d4
20	0x14	0x8009E619	H. Gun Bullets	24010023514a001e51484841504f	0x8009DFEC	c0d4e3d5d46fee25
21	0x15	0x8009E628	Shotgun Shells	2f444b5043514a002f444148484f	0x8009DFF5	b2ee0bee0cbad5d46fee25
22	0x16	0x8009E637	M. Bullets	2901001e51484841504f	0x8009E001	c5d7bbc76fee25
23	0x17	0x8009E642	Fuel	22514148	0x8009E009	ef1cef15
24	0x18	0x8009E647	G. Rounds	2301002e4b514a404f	0x8009E00E	d7d0be3be3ee25
25	0x19	0x8009E651	Flame Rounds	22483d4941002e4b514a404f	0x8009E016	ef18ee15ee25
26	0x1A	0x8009E65E	Acid Rounds	1d3f4540002e4b514a404f	0x8009E01D	ef4bef4cee25
27	0x1B	0x8009E66A	M.G. Bullets	29012301001e51484841504f	0x8009E024	b1e6c5b2d4d5d46fee25
28	0x1C	0x8009E677	S. Shot Bullets	2f01002f444b50001e51484841504f	0x8009E02F	b3e93baeb2ee0bee0cbaee25
29	0x1D	0x8009E687	Bow Gun Bolts	1e4b530023514a001e4b48504f	0x8009E03C	e8a9d5d46fee14
30	0x1E	0x8009E695	Ink Ribbon	254a47002e453e3e4b4a	0x8009E044	a8d4aecee8d4
