doc,slot,page,role,file_off,tim_bytes,bpp,width,height,doc_max_page,doc_page_h,name
0,0,-1,paper,0x000000,33312,8,128,256,5,144,FILE00_title_paper.TIM
0,0,-1,page,0x008220,18496,4,256,144,5,144,FILE00_title_page.TIM
0,1,0,page,0x00d000,18496,4,256,144,5,144,FILE00_p00_page.TIM
0,2,1,page,0x012000,18496,4,256,144,5,144,FILE00_p01_page.TIM
0,3,2,page,0x017000,18496,4,256,144,5,144,FILE00_p02_page.TIM
0,4,3,page,0x01c000,18496,4,256,144,5,144,FILE00_p03_page.TIM
0,5,4,page,0x021000,18496,4,256,144,5,144,FILE00_p04_page.TIM
0,6,5,page,0x026000,18496,4,256,144,5,144,FILE00_p05_page.TIM
1,7,-1,paper,0x02b000,33312,8,128,256,5,176,FILE01_title_paper.TIM
1,7,-1,page,0x033220,22592,4,256,176,5,176,FILE01_title_page.TIM
1,8,0,page,0x039000,22592,4,256,176,5,176,FILE01_p00_page.TIM
1,9,1,page,0x03f000,22592,4,256,176,5,176,FILE01_p01_page.TIM
1,10,2,page,0x045000,22592,4,256,176,5,176,FILE01_p02_page.TIM
1,11,3,page,0x04b000,22592,4,256,176,5,176,FILE01_p03_page.TIM
1,12,4,page,0x051000,22592,4,256,176,5,176,FILE01_p04_page.TIM
1,13,5,page,0x057000,22592,4,256,176,5,176,FILE01_p05_page.TIM
2,14,-1,paper,0x05d000,33312,8,128,256,1,176,FILE02_title_paper.TIM
2,14,-1,page,0x065220,22592,4,256,176,1,176,FILE02_title_page.TIM
2,15,0,page,0x06b000,22592,4,256,176,1,176,FILE02_p00_page.TIM
2,16,1,page,0x071000,22592,4,256,176,1,176,FILE02_p01_page.TIM
3,17,-1,paper,0x077000,33312,8,128,256,2,176,FILE03_title_paper.TIM
3,17,-1,page,0x07f220,22592,4,256,176,2,176,FILE03_title_page.TIM
3,18,0,page,0x085000,22592,4,256,176,2,176,FILE03_p00_page.TIM
3,19,1,page,0x08b000,22592,4,256,176,2,176,FILE03_p01_page.TIM
3,20,2,page,0x091000,22592,4,256,176,2,176,FILE03_p02_page.TIM
4,21,-1,paper,0x097000,33312,8,128,256,9,176,FILE04_title_paper.TIM
4,21,-1,page,0x09f220,22592,4,256,176,9,176,FILE04_title_page.TIM
4,22,0,page,0x0a5000,22592,4,256,176,9,176,FILE04_p00_page.TIM
4,23,1,page,0x0ab000,22592,4,256,176,9,176,FILE04_p01_page.TIM
4,24,2,page,0x0b1000,22592,4,256,176,9,176,FILE04_p02_page.TIM
4,25,3,page,0x0b7000,22592,4,256,176,9,176,FILE04_p03_page.TIM
4,26,4,page,0x0bd000,22592,4,256,176,9,176,FILE04_p04_page.TIM
4,27,5,page,0x0c3000,22592,4,256,176,9,176,FILE04_p05_page.TIM
4,28,6,page,0x0c9000,22592,4,256,176,9,176,FILE04_p06_page.TIM
4,29,7,page,0x0cf000,22592,4,256,176,9,176,FILE04_p07_page.TIM
4,30,8,page,0x0d5000,22592,4,256,176,9,176,FILE04_p08_page.TIM
4,31,9,page,0x0db000,22592,4,256,176,9,176,FILE04_p09_page.TIM
5,32,-1,paper,0x0e1000,33312,8,128,256,9,176,FILE05_title_paper.TIM
5,32,-1,page,0x0e9220,22592,4,256,176,9,176,FILE05_title_page.TIM
