Warten auf einen interaktiven Bildschirm
Bild   Pad-Schreibvorgaenge (gesamt / im Abschnitt) | pc | Spieler | Modus
   500       0 /     0 | pc=8004a1d0 | Spieler=(0,0,0) | Modus=0
  1000       0 /     0 | pc=bfc091ac | Spieler=(0,0,0) | Modus=0
  1500       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
  2000       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
  2500       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
  3000       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
  3500       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
  4000       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
  4500       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
  5000       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
  5500       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
  6000       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
  6500       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
  7000       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
  7500       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
  8000       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
  8500       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
  9000       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
  9500       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
 10000       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
 10500       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
 11000       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
 11500       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
 12000       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
 12500       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
 13000       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
 13500       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
 14000       0 /     0 | pc=8006217c | Spieler=(0,0,0) | Modus=0
 14500       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
 15000       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
 15500       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
 16000       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
 16500       0 /     0 | pc=80062130 | Spieler=(0,0,0) | Modus=0
